Timestamp do Registro,Nome,Sobrenome,Email,Telefone,Produto Adquirido,Valor da Compra,Canal,Plataforma de Interação,Campanha de Marketing,Vendedor,Desconto Oferecido,Código de Desconto Usado
2014-05-01 08:10:00,João,Silva,joao1@email.com,11987654321,Smartphone,2500,Anúncio Online,Aplicativo Móvel,Campanha Verão 2023,,5%,VERAO2023
2014-06-10 09:15:00,Maria,Pereira,maria2@email.com,11998765432,Notebook,3500,Loja Física,Website,Campanha Inverno 2023,Roberta,10%,INVERNO23
2014-07-11 10:20:00,Pedro,Alves,pedro3@email.com,11976543210,Tablet,1200,E-mail Marketing,Website,Campanha Outono 2023,,0%,OUTONO23
2014-05-15 10:30:00,Ana,Souza,ana4@email.com,11965432109,Smart TV,4000,Redes Sociais,Aplicativo Móvel,Campanha Primavera 2023,,15%,PRIMAVERA23
2014-08-10 11:00:00,Bruno,Rocha,bruno5@email.com,11954321098,Headphone,500,Loja Física,Website,Campanha Verão 2023,Renata,5%,VERAO2023
2018-06-15 11:45:00,Camila,Costa,camila6@email.com,11943210987,Smartwatch,800,Redes Sociais,Aplicativo Móvel,Campanha Inverno 2023,,10%,INVERNO23
2018-07-20 12:30:00,Diego,Cardoso,diego7@email.com,11932109876,Mouse,50,E-mail Marketing,Website,Campanha Outono 2023,,0%,OUTONO23
2018-08-25 01:00:00,Elisa,Barros,elisa8@email.com,11921098765,Teclado,100,Loja Física,Aplicativo Móvel,Campanha Primavera 2023,Juliana,5%,PRIMAVERA23
2018-05-30 02:30:00,Fábio,Machado,fabio9@email.com,11910987654,Monitor,900,Redes Sociais,Website,Campanha Verão 2023,,15%,VERAO2023
2018-06-05 02:45:00,Gabriela,Ribeiro,gabi10@email.com,11909876543,Caixa de Som,350,Loja Física,Website,Campanha Inverno 2023,Carlos,10%,INVERNO23
2018-05-01 08:10:00,João,Silva,joao1@email.com,11987654321,Smartphone,2500,Anúncio Online,Aplicativo Móvel,Campanha Verão 2023,,5%,VERAO2023
2023-06-10 09:15:00,Maria,Pereira,maria2@email.com,11998765432,Notebook,3500,Loja Física,Website,Campanha Inverno 2023,Roberta,10%,INVERNO23
2023-07-11 10:20:00,Pedro,Alves,pedro3@email.com,11976543210,Tablet,1200,E-mail Marketing,Website,Campanha Outono 2023,,0%,OUTONO23
2023-08-10 11:00:00,Bruno,Rocha,bruno5@email.com,11954321098,Headphone,500,Loja Física,Website,Campanha Verão 2023,Renata,5%,VERAO2023
2023-06-05 02:45:00,Gabriela,Ribeiro,gabi10@email.com,11909876543,Caixa de Som,350,Loja Física,Website,Campanha Inverno 2023,Carlos,10%,INVERNO23
2020-09-01 09:10:00,Roberto,Andrade,roberto1@email.com,12987654320,Livro,50,Anúncio Online,Aplicativo Móvel,Campanha Primavera 2023,,0%,PRIMAVERA23
2020-09-05 10:20:00,Juliana,Martins,juliana2@email.com,12998765431,Câmera,1500,Loja Física,Website,Campanha Primavera 2023,Roberta,10%,PRIMAVERA23
2020-09-10 11:30:00,Ricardo,Batista,ricardo3@email.com,12976543219,Jogo de Videogame,200,E-mail Marketing,Website,Campanha Primavera 2023,,5%,PRIMAVERA23
2020-09-15 12:40:00,Larissa,Melo,larissa4@email.com,12965432108,Console de Videogame,2500,Redes Sociais,Aplicativo Móvel,Campanha Primavera 2023,,15%,PRIMAVERA23
2020-09-20 13:50:00,Renato,Carvalho,renato5@email.com,12954321097,Blu-Ray de Filme,100,Loja Física,Website,Campanha Primavera 2023,Renata,10%,PRIMAVERA23
